dataset	did	seed	auc_challenger	auc_baseline	auc_offline
analcatdata_lawsuit	450	2101	0.986788630485535	0.980691075325012	0.972561001777649
analcatdata_lawsuit	450	2102	0.993902444839478	0.993902444839478	0.995934963226318
analcatdata_lawsuit	450	2103	0.995934963226318	0.977642297744751	0.991869926452637
analcatdata_lawsuit	450	2104	0.979674816131592	0.973577260971069	0.965447127819061
analcatdata_lawsuit	450	2105	0.993902444839478	0.93699187040329	0.987804889678955
analcatdata_lawsuit	450	2106	1	0.991869926452637	1
analcatdata_lawsuit	450	2107	0.989837408065796	0.971544742584229	0.991869926452637
analcatdata_lawsuit	450	2108	0.993902444839478	0.991869926452637	0.996951222419739
analcatdata_lawsuit	450	2109	0.981707334518433	0.934959352016449	0.987804889678955
analcatdata_lawsuit	450	2110	0.989837408065796	0.979674816131592	0.989837408065796
analcatdata_michiganacc	771	2101	0.831250011920929	0.778124988079071	0.818750023841858
analcatdata_michiganacc	771	2102	0.767187476158142	0.756250023841858	0.768750011920929
analcatdata_michiganacc	771	2103	0.762499988079071	0.743749976158142	0.790624976158142
analcatdata_michiganacc	771	2104	0.642187476158142	0.557812511920929	0.620312511920929
analcatdata_michiganacc	771	2105	0.774999976158142	0.721875011920929	0.734375
analcatdata_michiganacc	771	2106	0.657812476158142	0.595312476158142	0.698437511920929
